			英語の本文(ここから翻訳される)	英語	アフリカーンス語	アルバニア語	アムハラ語	アラビア文字	アルメニア語	アゼルバイジャン語	バスク語	ベラルーシ語	ベンガル文字	ボスニア語	ブルガリア語	カタロニア語	中国語	中国語（簡体）	中国語（繁体）	クロアチア語	チェコ語	デンマーク語	オランダ語	エストニア語	フィンランド語	フランス語	ガリシア語	グルジア語	ドイツ語	ギリシャ語	グジャラト語	ヘブライ語	ヒンディー語	ハンガリー語	アイスランド語	インドネシア語	イタリア語	日本語	カンナダ語	カザフ語	クメール語	韓国語	キルギス語	ラオ語	ラトビア語	リトアニア語	マケドニア語	マレー語	マラヤーラム文字	マラーティー語	モンゴル語	ミャンマー語（ビルマ語）	ネパール語	ノルウェー語	オリヤ語	パシュト語	ペルシャ語	ポーランド語	ポルトガル語（ポルトガル、ブラジル）	パンジャブ語	ルーマニア語	ロシア語	セルビア語	シンハラ語	スロバキア語	スロベニア語	スペイン語	スワヒリ語	スウェーデン語	タガログ語（フィリピン語）	タミル語	テルグ語	タイ語	トルコ語	ウクライナ語	ウルドゥー語	ウズベク語	ベトナム語	ズールー語
	エラーが発生しました	error	Error downloading video	Error downloading video	Fout aflaai video	Gabim në shkarkimin e videos	ቪዲዮን ማውረድ ስህተት	خطأ تنزيل الفيديو	Տեսանյութ ներբեռնելու սխալ	VİDEO Yükləmə xətası	Errorea bideoa deskargatzean	Памылка Загрузка відэа	ভিডিও ডাউনলোড করতে ত্রুটি	Pogreška prilikom preuzimanja videa	Грешка за изтегляне на видео	Error de descàrrega de vídeo	错误下载视频	错误下载视频	錯誤下載視頻	Pogreška Preuzimanje videozapisa	Stahování chyby videa	Fejl ved download af video	Fout bij het downloaden van video	Viga video allalaadimine	Videon lataaminen	Erreur de téléchargement vidéo	Erro ao descargar vídeo	შეცდომის ჩამოტვირთვა ვიდეო	Fehler beim Herunterladen von Video	Λήψη σφαλμάτων βίντεο	વિડિઓ ડાઉનલોડ કરવામાં ભૂલ	שגיאה בהורדת וידאו	वीडियो डाउनलोड करने में त्रुटि	Hiba a videó letöltése	Villa við að hlaða niður myndbandi	Kesalahan mengunduh video	Errore per il download di video	エラーが発生しました	ವೀಡಿಯೊ ಡೌನ್‌ಲೋಡ್ ಮಾಡುವಲ್ಲಿ ದೋಷ	Бейнені жүктеу кезінде қате пайда болды	កំហុសក្នុងការទាញយកវីដេអូ	비디오 다운로드 오류	Видеону жүктөп алууда ката кетти	ຂໍ້ຜິດພາດໃນການດາວໂຫລດວິດີໂອ	Kļūda lejupielādē video	Klaida atsisiunčiant vaizdo įrašą	Грешка во преземањето видео	Ralat memuat turun video	വീഡിയോ ഡ download ൺലോഡുചെയ്യുന്നതിൽ പിശക്	व्हिडिओ डाउनलोड करताना त्रुटी	Видеог татаж авахад алдаа гарлаа	ဗွီဒီယိုကိုဒေါင်းလုပ်လုပ်ခြင်းအမှား	भिडियो डाउनलोड गर्न त्रुटि	Feil nedlasting av video	ଭିଡିଓ ଡାଉନଲୋଡ୍ କରିବାରେ ତ୍ରୁଟି |	د ویډیو ډاونلوډ کولو کې تېروتنه	خطا در حال بارگیری ویدیو	Pobieranie błędów wideo	Erro ao baixar vídeo	ਵੀਡੀਓ ਡਾ ing ਨਲੋਡ ਕਰਨ ਦੌਰਾਨ ਗਲਤੀ	Eroare la descărcarea video	Ошибка загрузка видео	Грешка у преузимање видеа	වීඩියෝ බාගත කිරීමේදී දෝෂයකි	Sťahovanie videa	Napaka pri prenosu videoposnetka	Error de descarga de video	Hitilafu kupakua video	Felnedladdning av video	Error sa pag -download ng video	வீடியோவைப் பதிவிறக்குவதில் பிழை	వీడియోను డౌన్‌లోడ్ చేయడంలో లోపం	ข้อผิดพลาดในการดาวน์โหลดวิดีโอ	Video indirme hatası	Помилка завантаження відео	ویڈیو ڈاؤن لوڈ کرنے میں خرابی	Videoni yuklab olishda xato	Lỗi khi tải xuống video	Iphutha ukulanda ividiyo
	スライダーを動かしてスピードを変更する	changeSpeed	Move the slider to change speed.	Move the slider to change speed.	Beweeg die skuifknop om die spoed te verander.	Lëvizni rrëshqitësin për të ndryshuar shpejtësinë.	ተንሸራታቹን ፍጥነት ወደ ለመቀየር ይውሰዱ.	نقل شريط التمرير لتغيير السرعة.	Տեղափոխեք սահնակը `արագությունը փոխելու համար:	Sürəti dəyişdirmək üçün sürüşmə hərəkət edin.	Eraman graduatzailea abiadura aldatzeko.	Перамясціце паўзунок, каб змяніць хуткасць.	গতি পরিবর্তন করতে স্লাইডারটি সরান।	Pomaknite klizač za promjenu brzine.	Преместете плъзгача, за да промените скоростта.	Desplaceu el control lliscant per canviar la velocitat.	移动滑块以更改速度。	移动滑块以更改速度。	移動滑塊以更改速度。	Pomaknite klizač da biste promijenili brzinu.	Přesuňte posuvník a změňte rychlost.	Flyt skyderen for at ændre hastighed.	Verplaats de schuifregelaar om snelheid te veranderen.	Liigutage liugurit kiiruse muutmiseks.	Siirrä liukusäädin nopeuden vaihtamiseksi.	Déplacez le curseur pour changer la vitesse.	Mover o control deslizante para cambiar a velocidade.	გადაიტანეთ სლაიდერი სიჩქარის შესაცვლელად.	Bewegen Sie den Schieberegler, um die Geschwindigkeit zu ändern.	Μετακινήστε το ρυθμιστικό για να αλλάξετε ταχύτητα.	ગતિ બદલવા માટે સ્લાઇડરને ખસેડો.	העבירו את המחוון לשינוי מהירות.	गति बदलने के लिए स्लाइडर को स्थानांतरित करें।	Mozgassa a csúszkát a sebesség megváltoztatásához.	Færðu rennibrautina til að breyta hraða.	Pindahkan slider untuk mengubah kecepatan.	Spostare il cursore per cambiare velocità.	スライダーを動かしてスピードを変更する	ವೇಗವನ್ನು ಬದಲಾಯಿಸಲು ಸ್ಲೈಡರ್ ಅನ್ನು ಸರಿಸಿ.	Жылдамдықты өзгерту үшін жүгірткіні жылжытыңыз.	ផ្លាស់ទីគ្រាប់រំកិលដើម្បីផ្លាស់ប្តូរល្បឿន។	슬라이더를 이동하여 속도를 변경하십시오.	Ылдамдыгын өзгөртүү үчүн сыдырманы жылдырыңыз.	ຍ້າຍແຖບເລື່ອນເພື່ອປ່ຽນຄວາມໄວ.	Pārvietojiet slīdni, lai mainītu ātrumu.	Perkelkite slankiklį, kad pakeistumėte greitį.	Поместете го лизгачот за да ја промените брзината.	Gerakkan gelangsar untuk menukar kelajuan.	വേഗത മാറ്റുന്നതിന് സ്ലൈഡർ നീക്കുക.	वेग बदलण्यासाठी स्लाइडर हलवा.	Хурдыг өөрчлөхийн тулд гулсагчийг хөдөлгө.	မြန်နှုန်းပြောင်းလဲရန် slider ကိုရွှေ့ပါ။	स्लाइडरलाई गति परिवर्तन गर्न सार्नुहोस्।	Flytt glidebryteren for å endre hastighet.	ଗତି ପରିବର୍ତ୍ତନ କରିବାକୁ ସ୍ଲାଇଡରକୁ ଘୁଞ୍ଚାନ୍ତୁ |	سلایډر د سرعت بدلولو لپاره حرکت کړئ.	کشویی را حرکت دهید تا سرعت تغییر کند.	Przesuń suwak, aby zmienić prędkość.	Mova o controle deslizante para mudar de velocidade.	ਸਪੀਡ ਬਦਲਣ ਲਈ ਸਲਾਇਡਰ ਨੂੰ ਹਿਲਾਓ.	Mutați glisorul pentru a schimba viteza.	Переместите ползунок, чтобы изменить скорость.	Померите клизач да промените брзину.	වේගය වෙනස් කිරීමට ස්ලයිඩරය ගෙන යන්න.	Presuňte posúvač, aby ste zmenili rýchlosť.	Premaknite drsnik na hitrost spreminjanja.	Mueva el control deslizante para cambiar la velocidad.	Sogeza mtelezi ili ubadilishe kasi.	Flytta skjutreglaget för att ändra hastighet.	Ilipat ang slider upang baguhin ang bilis.	வேகத்தை மாற்ற ஸ்லைடரை நகர்த்தவும்.	వేగాన్ని మార్చడానికి స్లైడర్‌ను తరలించండి.	เลื่อนแถบเลื่อนเพื่อเปลี่ยนความเร็ว	Hızı değiştirmek için kaydırıcıyı hareket ettirin.	Перемістіть повзунок, щоб змінити швидкість.	رفتار کو تبدیل کرنے کے لئے سلائیڈر کو منتقل کریں۔	Tezlikni o'zgartirish uchun slayderni harakatlantiring.	Di chuyển thanh trượt để thay đổi tốc độ.	Hambisa isilayida ukuze sishintshe isivinini.
	タイトルなし	notitle	no title	no title	Geen titel nie	pa titull	ርዕስ የለም	بلا عنوان	ոչ մի վերնագիր	başlıq	Izenbururik ez	Няма загалоўка	কোনো শিরোনাম নেই	Nema naslova	Без заглавие	Sense títol	无题	无题	無題	bez naslova	bez názvu	ingen titel	geen titel	pole pealkirja	ei otsikkoa	pas de titre	Sen título	უსათაურო	kein Titel	χωρίς τίτλο	કોઈ હક નથી	ללא כותרת	कोई शीर्षक नहीं	nincs cím	Enginn titill	tanpa judul	senza titolo	タイトルなし	ಶಿರೋನಾಮೆಯಿಲ್ಲ	Тақырып жоқ	គ្មានចំណងជើង	제목 없음	аты жок	ບໍ່ມີຫົວຂໍ້	nav nosaukuma	be pavadinimo	нема наслов	tiada tajuk	തലക്കെട്ട് ഇല്ല	शीर्षक नाही	гарын үсэг алга	ခေါင်းစဉ်မရှိ	कुनै शीर्षक छैन	uten tittel	କ time ଣସି ଆଖ୍ୟା ନାହିଁ |	سرلیک نشته	بدون عنوان	bez tytułu	Sem título	ਕੋਈ ਸਿਰਲੇਖ ਨਹੀਂ	fara titlu	без заголовка	без наслова	මාතෘකාවක් නැත	bez nadpisu	Brez naslova	Sin título	Hakuna kichwa	ingen titel	walang titulo	தலைப்பு இல்லை	శీర్షిక లేదు	ไม่มีชื่อเรื่อง	Başlık yok	Ніяка назва	بلا عنوان	Sarlavha yo'q	Không tiêu đề	Akunasihloko
ホーム	検索	search	Search	Search	Soek	Kërkim	ፍለጋ	يبحث	Որոնել	Axtarış	Araketa	Шукаць	অনুসন্ধান	Pretražiti	Търсене	Cerca	搜索	搜索	搜索	traži	Vyhledávání	Søg	Zoekopdracht	Otsing	Hae	Recherche	Busca	ძებნა	Suchen	Αναζήτηση	શોધ	לחפש	खोज	Keresés	Leitaðu	Mencari	Ricerca	検索	ಹುಡುಕಿ Kannada	Іздеу	ការឆេកឆេ	찾다	Издөө	ຄົ້ນຫາ	Meklēt	Paieška	Пребарување	Cari	അനേഷണം	शोध	Эрэл хайгуул хийх	ရှာဖေွခြင်း	खोजी	Søk	ସନ୍ଧାନ କର |	لټون	جستجو کردن	Szukaj	Procurar	ਖੋਜ	Căutare	Поиск	Претрага	සෙවීම	Vyhľadávanie	Iskanje	Buscar	Tafuta	Sök	Maghanap	தேடல்	వెతకండి	ค้นหา	Aramak	Обшук	تلاش	Qidirmoq	Tìm kiếm	Sesha
	パラパラ漫画がありません	noFlipbook	No Flipbook for now.	No Flipbook for now.	Geen flipboek vir eers nie.	Asnjë libër flipbook për tani.	ለአሁኑ ምንም የሚሽጭቅ መጽሐፍ የለም.	لا يوجد فليب في الوقت الحالي.	Առայժմ FlipBook:	Artıq Flipbook yoxdur.	Oraingoz ez da fitxa.	Пакуль няма Flipbook.	আপাতত কোনও ফ্লিপবুক নেই।	Za sada nema flipbook-a.	Засега няма FlipBook.	No hi ha cap flipbook per ara.	目前还没有翻转书。	目前还没有翻转书。	目前還沒有翻轉書。	Zasad nema flipbook -a.	Prozatím žádný flipbook.	Ingen flipbook for nu.	Geen flipbook voor nu.	Praegu pole flipbooki.	Ei nyt flipbookia.	Pas de flipbook pour l'instant.	Non hai Flipbook por agora.	ახლა Flipbook არ არის.	Fürs Erste kein Flipbook.	Δεν υπάρχει flipbook για τώρα.	હમણાં માટે કોઈ ફ્લિપબુક નથી.	אין פנקס פנקס לעת עתה.	अब के लिए कोई फ्लिपबुक नहीं।	Egyelőre nincs Flipbook.	Engin flipbook í bili.	Tidak ada flipbook untuk saat ini.	Nessun flipbook per ora.	パラパラ漫画がありません	ಇದೀಗ ಫ್ಲಿಪ್‌ಬುಕ್ ಇಲ್ಲ.	Енді флипсова жоқ.	មិនមានព្រុយទេសម្រាប់ពេលនេះ។	지금은 플립 북이 없습니다.	Азыр Flipbook жок.	ບໍ່ມີ Flipbook ສໍາລັບດຽວນີ້.	Pagaidām nav flipbook.	Kol kas nėra jokios knygos.	Засега нема флип -книга.	Tiada buku flip untuk sekarang.	ഇപ്പോൾ ഫ്ലിപ്പ്ബുക്കില്ല.	आत्तासाठी फ्लिपबुक नाही.	Одоо flipbook байхгүй байна.	ယခုအတွက် flipbook မရှိပါ။	अहिलेको लागि फ्लिपबुक छैन।	Ingen flipbook for nå.	ବର୍ତ୍ତମାନ ପାଇଁ କ fl ଣସି ଫ୍ଲିପ୍ ବୁକ୍ ନାହିଁ |	د اوس لپاره فلیپ کتاب.	در حال حاضر بدون فلیپ بوک.	Na razie bez flipbook.	Sem flipbook por enquanto.	ਹੁਣ ਲਈ ਕੋਈ ਫਲਿੱਪਬੁੱਕ ਨਹੀਂ.	Nu există flipbook deocamdată.	НЕТ Flipbook пока.	За сада нема Флипбоок-а.	දැනට පෙරළෙන්න.	Zatiaľ žiadny flipbook.	Za zdaj ni nobenega flipbook -a.	No hay Flipbook por ahora.	Hakuna Flipbook kwa sasa.	Ingen flipbook för nu.	Walang flipbook para sa ngayon.	இப்போது பிளிப் புக் இல்லை.	ప్రస్తుతానికి ఫ్లిప్‌బుక్ లేదు.	ไม่มี flipbook ในตอนนี้	Şimdilik flipbook yok.	Наразі немає фліпбуру.	ابھی کے لئے کوئی فلپ بک نہیں ہے۔	Hozirda fliplav yo'q.	Không có flipbook bây giờ.	Ayikho i-flipbook manje.
	タイトル	title	Flipbook's Title	Flipbook's Title	Flipbook se titel	Titulli i Flipbook	የመፅሀፍ መጽሐፍ ርዕስ	عنوان Flipbook	Flipbook- ի վերնագիրը	FlipBook başlığı	Flipbook-en izenburua	Назва Flipbook	ফ্লিপবুকের শিরোনাম	Naslov flipbooka	Заглавието на Flipbook	El títol de FlipBook	Flipbook的标题	Flipbook的标题	Flipbook的標題	Naslov Flipbooka	Název flipbooku	Flipbooks titel	Flipbook's titel	Flipbooki pealkiri	Flipbook -otsikko	Titre de Flipbook	Título de Flipbook	Flipbook- ის სათაური	Title des Flipbooks	Τίτλος του Flipbook	ફ્લિપબુકનું શીર્ષક	הכותרת של Flipbook	फ्लिपबुक का शीर्षक	Flipbook címe	Titill FlipBook	Judul Flipbook	Titolo di Flipbook	タイトル	ಫ್ಲಿಪ್‌ಬುಕ್‌ನ ಶೀರ್ಷಿಕೆ	Флипсбук атауы	ចំណងជើងរបស់ Flipbook	Flipbook의 제목	Флипбитанын аталышы	ຫົວຂໍ້ຂອງ Flipbook	Flipbook nosaukums	„Flipbook“ pavadinimas	Наслов на Flipbook	Tajuk flipbook	ഫ്ലിപ്പ്ബുക്കിന്റെ ശീർഷകം	फ्लिपबुकचे शीर्षक	Флипбэкийн гарчиг	Flipbook ၏ခေါင်းစဉ်	फ्लिपबुकको शीर्षक	Flipbooks tittel	ଫ୍ଲିପବୁକ୍ ର ଆଖ୍ୟା |	فلیپ کتاب سرلیک	عنوان Flipbook	Tytuł Flipbooka	Título do FlipBook	ਫਲਿੱਪਬੁੱਕ ਦਾ ਸਿਰਲੇਖ	Titlul lui Flipbook	Название Flipbook	Наслов Флипбооке	ෆ්ලිප්බුක් හි මාතෘකාව	Titul flipbooku	Naslov flipbook -a	Título del flipbook	Kichwa cha Flipbook	Flipbooks titel	Pamagat ng Flipbook	பிளிபுக்கின் தலைப்பு	ఫ్లిప్‌బుక్ శీర్షిక	ชื่อของ Flipbook	Flipbook'un başlığı	Назва Flipbook	فلپ بک کا عنوان	Flipbookning sarlavhasi	Tiêu đề của Flipbook	Isihloko se-Flipbook
					#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
					#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
					#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
					#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
					#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
					#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!		#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!
